N_vertices; BlockSize; GridSize; time_sec
1000000; 32; 832; 0.006675
1000000; 32; 832; 0.006560
1000000; 32; 832; 0.006602
1000000; 32; 832; 0.006806
1000000; 32; 832; 0.006846
1000000; 32; 832; 0.006588
1000000; 32; 832; 0.006679
1000000; 32; 832; 0.006584
1000000; 32; 832; 0.008094
1000000; 32; 832; 0.006561
1000000; 32; 832; 0.006500
1000000; 32; 832; 0.006548
1000000; 32; 832; 0.006504
1000000; 32; 832; 0.006500
1000000; 32; 832; 0.006564
1000000; 32; 832; 0.006876
1000000; 32; 832; 0.006479
1000000; 32; 832; 0.007140
1000000; 32; 832; 0.007105
1000000; 32; 832; 0.007015
