N_vertices; BlockSize; GridSize; time_sec
1000000; 256; 104; 0.008254
1000000; 256; 104; 0.008103
1000000; 256; 104; 0.008125
1000000; 256; 104; 0.008901
1000000; 256; 104; 0.008256
1000000; 256; 104; 0.008185
1000000; 256; 104; 0.008209
1000000; 256; 104; 0.008159
1000000; 256; 104; 0.008130
1000000; 256; 104; 0.008175
1000000; 256; 104; 0.009801
1000000; 256; 104; 0.008064
1000000; 256; 104; 0.008496
1000000; 256; 104; 0.008683
1000000; 256; 104; 0.008060
1000000; 256; 104; 0.008084
1000000; 256; 104; 0.008071
1000000; 256; 104; 0.009191
1000000; 256; 104; 0.008010
1000000; 256; 104; 0.008038
