N_vertices; BlockSize; GridSize; time_sec
1000000; 8; 3328; 0.008285
1000000; 8; 3328; 0.008396
1000000; 8; 3328; 0.008450
1000000; 8; 3328; 0.008580
1000000; 8; 3328; 0.008256
1000000; 8; 3328; 0.009043
1000000; 8; 3328; 0.007852
1000000; 8; 3328; 0.008087
1000000; 8; 3328; 0.007894
1000000; 8; 3328; 0.007843
1000000; 8; 3328; 0.007946
1000000; 8; 3328; 0.007917
1000000; 8; 3328; 0.007962
1000000; 8; 3328; 0.007871
1000000; 8; 3328; 0.008027
1000000; 8; 3328; 0.007925
1000000; 8; 3328; 0.007983
1000000; 8; 3328; 0.009683
1000000; 8; 3328; 0.007837
1000000; 8; 3328; 0.008552
