N_vertices; BlockSize; GridSize; time_sec
1000000; 2; 13312; 0.017739
1000000; 2; 13312; 0.017601
1000000; 2; 13312; 0.016758
1000000; 2; 13312; 0.016697
1000000; 2; 13312; 0.016822
1000000; 2; 13312; 0.016845
1000000; 2; 13312; 0.016901
1000000; 2; 13312; 0.016669
1000000; 2; 13312; 0.016900
1000000; 2; 13312; 0.016890
1000000; 2; 13312; 0.016721
1000000; 2; 13312; 0.016768
1000000; 2; 13312; 0.016888
1000000; 2; 13312; 0.016783
1000000; 2; 13312; 0.017307
1000000; 2; 13312; 0.016755
1000000; 2; 13312; 0.016814
1000000; 2; 13312; 0.016759
1000000; 2; 13312; 0.016800
1000000; 2; 13312; 0.016956
