N_vertices; BlockSize; GridSize; time_sec
1000000; 16; 1664; 0.006843
1000000; 16; 1664; 0.006492
1000000; 16; 1664; 0.006617
1000000; 16; 1664; 0.006510
1000000; 16; 1664; 0.006514
1000000; 16; 1664; 0.006637
1000000; 16; 1664; 0.006622
1000000; 16; 1664; 0.006669
1000000; 16; 1664; 0.006628
1000000; 16; 1664; 0.006640
1000000; 16; 1664; 0.006704
1000000; 16; 1664; 0.006625
1000000; 16; 1664; 0.006862
1000000; 16; 1664; 0.006626
1000000; 16; 1664; 0.006696
1000000; 16; 1664; 0.006538
1000000; 16; 1664; 0.006400
1000000; 16; 1664; 0.006413
1000000; 16; 1664; 0.006573
1000000; 16; 1664; 0.006902
