N_vertices; BlockSize; GridSize; time_sec
1000000; 4; 6656; 0.011574
1000000; 4; 6656; 0.011609
1000000; 4; 6656; 0.011670
1000000; 4; 6656; 0.011453
1000000; 4; 6656; 0.011364
1000000; 4; 6656; 0.011484
1000000; 4; 6656; 0.011357
1000000; 4; 6656; 0.013083
1000000; 4; 6656; 0.011554
1000000; 4; 6656; 0.011407
1000000; 4; 6656; 0.011580
1000000; 4; 6656; 0.011563
1000000; 4; 6656; 0.011483
1000000; 4; 6656; 0.011554
1000000; 4; 6656; 0.011604
1000000; 4; 6656; 0.011663
1000000; 4; 6656; 0.011238
1000000; 4; 6656; 0.011481
1000000; 4; 6656; 0.011606
1000000; 4; 6656; 0.011417
