dimGraph;timeInt;
5000;0.016287;
5000;0.018063;
5000;0.017264;
5000;0.016470;
5000;0.016311;
5000;0.016342;
5000;0.016664;
5000;0.017079;
5000;0.016453;
5000;0.016358;
5000;0.019097;
5000;0.016760;
5000;0.016346;
5000;0.016454;
5000;0.016334;
5000;0.016374;
5000;0.016927;
5000;0.016636;
5000;0.017867;
5000;0.017658;
5000;0.016875;
5000;0.016454;
5000;0.017894;
5000;0.016474;
5000;0.016424;
5000;0.017021;
5000;0.016238;
5000;0.016786;
5000;0.016334;
5000;0.016749;
5000;0.018225;
5000;0.018341;
5000;0.016250;
5000;0.016254;
5000;0.016584;
5000;0.016653;
5000;0.017259;
5000;0.016130;
5000;0.017415;
5000;0.016282;
5000;0.016331;
5000;0.016679;
5000;0.017080;
5000;0.016275;
5000;0.016367;
5000;0.017213;
5000;0.016371;
5000;0.016617;
5000;0.016749;
5000;0.016374;
