dimGraph;timeInt;
5000;0.011493;
5000;0.009484;
5000;0.099876;
5000;0.088061;
5000;0.180938;
5000;0.042494;
5000;0.021257;
5000;0.012765;
5000;0.101175;
5000;0.022847;
5000;0.009809;
5000;0.022578;
5000;0.044390;
5000;0.093943;
5000;0.018403;
5000;0.042817;
5000;0.045449;
5000;0.048201;
5000;0.009440;
5000;0.060376;
5000;0.041507;
5000;0.425125;
5000;0.168163;
5000;0.839169;
5000;0.381596;
5000;0.811131;
5000;0.279688;
5000;0.284045;
5000;0.910558;
5000;0.229017;
5000;0.261951;
5000;1.002127;
5000;0.591515;
5000;0.734956;
5000;0.391177;
5000;0.427944;
5000;0.432356;
5000;0.382320;
5000;0.600072;
5000;0.332748;
5000;0.296842;
5000;0.306563;
5000;0.564113;
5000;0.171116;
5000;0.304511;
5000;0.316903;
5000;0.288455;
5000;0.199466;
5000;0.388915;
5000;0.379924;
