dimGraph;timeInt;
5000;0.015561;
5000;0.015409;
5000;0.016509;
5000;0.016743;
5000;0.015837;
5000;0.015445;
5000;0.015443;
5000;0.016308;
5000;0.016667;
5000;0.016004;
5000;0.016348;
5000;0.015648;
5000;0.016472;
5000;0.015730;
5000;0.016677;
5000;0.016061;
5000;0.015645;
5000;0.015568;
5000;0.015510;
5000;0.017818;
5000;0.016153;
5000;0.015792;
5000;0.016502;
5000;0.016349;
5000;0.016804;
5000;0.015948;
5000;0.016106;
5000;0.016000;
5000;0.015514;
5000;0.016287;
5000;0.015767;
5000;0.016395;
5000;0.015564;
5000;0.016245;
5000;0.015739;
5000;0.017165;
5000;0.018138;
5000;0.015889;
5000;0.016697;
5000;0.017469;
5000;0.016786;
5000;0.021107;
5000;0.016156;
5000;0.016327;
5000;0.018967;
5000;0.016472;
5000;0.015714;
5000;0.016025;
5000;0.016461;
5000;0.016720;
