dimGraph;timeInt;
5000;0.010000;
5000;0.010002;
5000;0.009503;
5000;0.010652;
5000;0.016853;
5000;0.009826;
5000;0.009826;
5000;0.009938;
5000;0.010125;
5000;0.009683;
5000;0.009508;
5000;0.009374;
5000;0.016843;
5000;0.009609;
5000;0.009667;
5000;0.009686;
5000;0.009634;
5000;0.009526;
5000;0.009481;
5000;0.009427;
5000;0.010407;
5000;0.009473;
5000;0.009443;
5000;0.009579;
5000;0.009899;
5000;0.009876;
5000;0.009433;
5000;0.013617;
5000;0.012479;
5000;0.009739;
5000;0.009638;
5000;0.009502;
5000;0.009258;
5000;0.009812;
5000;0.009366;
5000;0.009567;
5000;0.014132;
5000;0.009648;
5000;0.009908;
5000;0.009704;
5000;0.010060;
5000;0.009336;
5000;0.009346;
5000;0.009329;
5000;0.009587;
5000;0.009379;
5000;0.009516;
5000;0.009436;
5000;0.009478;
5000;0.010033;
