dimGraph;timeInt;
5000;0.070807;
5000;0.121400;
5000;0.075780;
5000;0.027818;
5000;0.056907;
5000;0.052972;
5000;0.163207;
5000;0.010989;
5000;0.034292;
5000;0.012367;
5000;0.034265;
5000;0.043261;
5000;0.017702;
5000;0.019587;
5000;0.051143;
5000;0.050125;
5000;0.013104;
5000;0.109113;
5000;0.039176;
5000;0.023823;
5000;0.041976;
5000;0.588303;
5000;0.410391;
5000;0.139870;
5000;0.092151;
5000;0.305281;
5000;0.028941;
5000;0.031730;
5000;0.046595;
5000;0.021773;
5000;0.067668;
5000;0.047913;
5000;0.354608;
5000;0.219847;
5000;0.056449;
5000;0.037407;
5000;0.030141;
5000;0.158520;
5000;0.048988;
5000;0.058312;
5000;0.012068;
5000;0.013282;
5000;0.062271;
5000;0.206334;
5000;0.118952;
5000;0.044644;
5000;0.066905;
5000;0.046208;
5000;0.030132;
5000;0.086321;
