dimGraph;timeInt;
1000;0.000777;
1000;0.000716;
1000;0.000699;
1000;0.000757;
1000;0.000746;
1000;0.000710;
1000;0.000708;
1000;0.000873;
1000;0.000715;
1000;0.000767;
1000;0.000889;
1000;0.000751;
1000;0.000720;
1000;0.000728;
1000;0.000795;
1000;0.000771;
1000;0.000700;
1000;0.000731;
1000;0.000749;
1000;0.000953;
1000;0.000688;
1000;0.001009;
1000;0.000703;
1000;0.000709;
1000;0.000764;
1000;0.000742;
1000;0.000707;
1000;0.000714;
1000;0.000736;
1000;0.000719;
1000;0.000847;
1000;0.000704;
1000;0.000725;
1000;0.000718;
1000;0.001351;
1000;0.000737;
1000;0.000961;
1000;0.000744;
1000;0.000736;
1000;0.000737;
1000;0.000741;
1000;0.000868;
1000;0.000723;
1000;0.001096;
1000;0.000774;
1000;0.001021;
1000;0.000798;
1000;0.000740;
1000;0.000721;
1000;0.000711;
