dimGraph;timeInt;
1000;0.002352;
1000;0.086973;
1000;0.002055;
1000;0.001824;
1000;0.001821;
1000;0.001706;
1000;0.005915;
1000;0.010419;
1000;0.024283;
1000;0.001713;
1000;0.022083;
1000;0.001848;
1000;0.123372;
1000;0.002476;
1000;0.002309;
1000;0.005635;
1000;0.001797;
1000;0.004644;
1000;0.008820;
1000;0.001702;
1000;0.003205;
1000;0.022529;
1000;0.001898;
1000;0.003841;
1000;0.048224;
1000;0.001795;
1000;0.044132;
1000;0.011410;
1000;0.060074;
1000;0.002633;
1000;0.001716;
1000;0.002386;
1000;0.064709;
1000;0.006212;
1000;0.001713;
1000;0.002466;
1000;0.060811;
1000;0.040655;
1000;0.001958;
1000;0.014884;
1000;0.002804;
1000;0.001808;
1000;0.113875;
1000;0.017630;
1000;0.002938;
1000;0.003118;
1000;0.039167;
1000;0.001857;
1000;0.001708;
1000;0.001858;
