dimGraph;timeInt;
1000;0.001597;
1000;0.001546;
1000;0.001577;
1000;0.001522;
1000;0.001528;
1000;0.001544;
1000;0.001536;
1000;0.002283;
1000;0.001685;
1000;0.001553;
1000;0.001617;
1000;0.001613;
1000;0.001691;
1000;0.001678;
1000;0.001674;
1000;0.001626;
1000;0.001741;
1000;0.001617;
1000;0.001653;
1000;0.001854;
1000;0.001642;
1000;0.001801;
1000;0.001664;
1000;0.001661;
1000;0.002119;
1000;0.001859;
1000;0.001765;
1000;0.002001;
1000;0.001829;
1000;0.001794;
1000;0.001726;
1000;0.001610;
1000;0.001545;
1000;0.001637;
1000;0.002246;
1000;0.001632;
1000;0.001616;
1000;0.001559;
1000;0.001622;
1000;0.001593;
1000;0.001518;
1000;0.001566;
1000;0.001720;
1000;0.001599;
1000;0.001606;
1000;0.001630;
1000;0.001655;
1000;0.001517;
1000;0.001584;
1000;0.001660;
