N_vertices; BlockSize; GridSize; time_sec
1000000; 16; 1664; 0.007950
1000000; 16; 1664; 0.007817
1000000; 16; 1664; 0.007331
1000000; 16; 1664; 0.007200
1000000; 16; 1664; 0.007176
1000000; 16; 1664; 0.007372
1000000; 16; 1664; 0.007133
1000000; 16; 1664; 0.007219
1000000; 16; 1664; 0.007242
1000000; 16; 1664; 0.007198
1000000; 16; 1664; 0.007419
1000000; 16; 1664; 0.007243
1000000; 16; 1664; 0.007227
1000000; 16; 1664; 0.007498
1000000; 16; 1664; 0.007188
1000000; 16; 1664; 0.007186
1000000; 16; 1664; 0.007326
1000000; 16; 1664; 0.008638
1000000; 16; 1664; 0.007362
1000000; 16; 1664; 0.007042
1000000; 16; 1664; 0.007239
1000000; 16; 1664; 0.007406
