N_vertices; BlockSize; GridSize; time_sec
1000000; 2; 13312; 0.018411
1000000; 2; 13312; 0.019947
1000000; 2; 13312; 0.017262
1000000; 2; 13312; 0.017414
1000000; 2; 13312; 0.017252
1000000; 2; 13312; 0.017401
1000000; 2; 13312; 0.017357
1000000; 2; 13312; 0.017254
1000000; 2; 13312; 0.017325
1000000; 2; 13312; 0.017266
1000000; 2; 13312; 0.017228
1000000; 2; 13312; 0.017272
1000000; 2; 13312; 0.017393
1000000; 2; 13312; 0.017454
1000000; 2; 13312; 0.017350
1000000; 2; 13312; 0.021320
1000000; 2; 13312; 0.019392
1000000; 2; 13312; 0.019239
1000000; 2; 13312; 0.019340
1000000; 2; 13312; 0.019875
