N_vertices; BlockSize; GridSize; time_sec
1000000; 128; 208; 0.008031
1000000; 128; 208; 0.008980
1000000; 128; 208; 0.008103
1000000; 128; 208; 0.008150
1000000; 128; 208; 0.008181
1000000; 128; 208; 0.008186
1000000; 128; 208; 0.008049
1000000; 128; 208; 0.008200
1000000; 128; 208; 0.008166
1000000; 128; 208; 0.008144
1000000; 128; 208; 0.008137
1000000; 128; 208; 0.008042
1000000; 128; 208; 0.008486
1000000; 128; 208; 0.008154
1000000; 128; 208; 0.008241
1000000; 128; 208; 0.007993
1000000; 128; 208; 0.008000
1000000; 128; 208; 0.008141
1000000; 128; 208; 0.008411
1000000; 128; 208; 0.008078
