N_vertices; BlockSize; GridSize; time_sec
1000000; 4; 6656; 0.012376
1000000; 4; 6656; 0.012613
1000000; 4; 6656; 0.012032
1000000; 4; 6656; 0.012215
1000000; 4; 6656; 0.012004
1000000; 4; 6656; 0.012165
1000000; 4; 6656; 0.012067
1000000; 4; 6656; 0.011944
1000000; 4; 6656; 0.011998
1000000; 4; 6656; 0.011996
1000000; 4; 6656; 0.012017
1000000; 4; 6656; 0.012254
1000000; 4; 6656; 0.012207
1000000; 4; 6656; 0.012264
1000000; 4; 6656; 0.011969
1000000; 4; 6656; 0.012135
1000000; 4; 6656; 0.012017
1000000; 4; 6656; 0.011965
1000000; 4; 6656; 0.012089
1000000; 4; 6656; 0.011958
