N_vertices; BlockSize; GridSize; time_sec
1000000; 64; 416; 0.008249
1000000; 64; 416; 0.007765
1000000; 64; 416; 0.008183
1000000; 64; 416; 0.007704
1000000; 64; 416; 0.008142
1000000; 64; 416; 0.007861
1000000; 64; 416; 0.008832
1000000; 64; 416; 0.008167
1000000; 64; 416; 0.007846
1000000; 64; 416; 0.007878
1000000; 64; 416; 0.007867
1000000; 64; 416; 0.007624
1000000; 64; 416; 0.007823
1000000; 64; 416; 0.007792
1000000; 64; 416; 0.007886
1000000; 64; 416; 0.007764
1000000; 64; 416; 0.007872
1000000; 64; 416; 0.007838
1000000; 64; 416; 0.007962
1000000; 64; 416; 0.007949
