N_vertices; BlockSize; GridSize; time_sec
1000000;512;52;0.008321
1000000;512;52; 0.008136
1000000;512;52; 0.008525
1000000;512;52; 0.008204
1000000;512;52; 0.009055
1000000;512;52; 0.008439
1000000;512;52; 0.008283
1000000;512;52; 0.008218
1000000;512;52; 0.009660
1000000;512;52; 0.008328
1000000;512;52; 0.008251
1000000;512;52; 0.008558
1000000;512;52; 0.008443
1000000;512;52; 0.008321
1000000;512;52; 0.008225
1000000;512;52; 0.008206
1000000;512;52; 0.008325
1000000;512;52; 0.008224
1000000;512;52; 0.008224
