N_vertices; BlockSize; GridSize; time_sec
1000000; 256; 104; 0.008126
1000000; 256; 104; 0.008065
1000000; 256; 104; 0.008214
1000000; 256; 104; 0.008142
1000000; 256; 104; 0.008292
1000000; 256; 104; 0.008384
1000000; 256; 104; 0.008121
1000000; 256; 104; 0.008553
1000000; 256; 104; 0.008170
1000000; 256; 104; 0.008190
1000000; 256; 104; 0.008127
1000000; 256; 104; 0.008308
1000000; 256; 104; 0.008969
1000000; 256; 104; 0.008038
1000000; 256; 104; 0.008099
1000000; 256; 104; 0.008043
1000000; 256; 104; 0.008437
1000000; 256; 104; 0.009251
1000000; 256; 104; 0.008055
