dimGraph;timeInt;
10000;0.005681;
10000;0.004914;
10000;0.004827;
10000;0.005438;
10000;0.005080;
10000;0.005033;
10000;0.004984;
10000;0.005321;
10000;0.004973;
10000;0.004982;
10000;0.005032;
10000;0.005149;
10000;0.004885;
10000;0.005119;
10000;0.004950;
10000;0.004949;
10000;0.004967;
10000;0.005758;
10000;0.004988;
10000;0.005154;
10000;0.005240;
10000;0.005126;
10000;0.004941;
10000;0.004826;
10000;0.005054;
10000;0.005198;
10000;0.005022;
10000;0.005129;
10000;0.004999;
10000;0.004870;
10000;0.004989;
10000;0.005683;
10000;0.005397;
10000;0.006405;
10000;0.005011;
10000;0.005687;
10000;0.004998;
10000;0.004912;
10000;0.004950;
10000;0.005049;
10000;0.004926;
10000;0.004901;
10000;0.005142;
10000;0.005158;
10000;0.004915;
10000;0.005064;
10000;0.004999;
10000;0.004850;
10000;0.005068;
10000;0.004871;
