dimGraph;timeInt;
10000;0.005369;
10000;0.005311;
10000;0.005744;
10000;0.004749;
10000;0.004963;
10000;0.005235;
10000;0.006862;
10000;0.004927;
10000;0.005452;
10000;0.005541;
10000;0.006347;
10000;0.008155;
10000;0.005663;
10000;0.004990;
10000;0.007481;
10000;0.005914;
10000;0.005578;
10000;0.005341;
10000;0.007791;
10000;0.006127;
10000;0.009591;
10000;0.006913;
10000;0.008125;
10000;0.008960;
10000;0.008718;
10000;0.005690;
10000;0.005958;
10000;0.005317;
10000;0.007413;
10000;0.010632;
10000;0.005729;
10000;0.005582;
10000;0.005474;
10000;0.005160;
10000;0.010364;
10000;0.005369;
10000;0.006333;
10000;0.010135;
10000;0.006228;
10000;0.005762;
10000;0.005057;
10000;0.005283;
10000;0.005836;
10000;0.005007;
10000;0.005006;
10000;0.005316;
10000;0.005921;
10000;0.006211;
10000;0.006432;
10000;0.006230;
