dimGraph;timeInt;
10000;0.005789;
10000;0.004908;
10000;0.005100;
10000;0.004796;
10000;0.004855;
10000;0.005014;
10000;0.005053;
10000;0.004923;
10000;0.005036;
10000;0.005005;
10000;0.005022;
10000;0.004804;
10000;0.004897;
10000;0.004976;
10000;0.004939;
10000;0.005044;
10000;0.005261;
10000;0.004834;
10000;0.005018;
10000;0.005017;
10000;0.007731;
10000;0.005010;
10000;0.004837;
10000;0.004946;
10000;0.004998;
10000;0.004929;
10000;0.004772;
10000;0.005010;
10000;0.006668;
10000;0.004912;
10000;0.005943;
10000;0.005031;
10000;0.007692;
10000;0.004994;
10000;0.005004;
10000;0.005026;
10000;0.004925;
10000;0.004924;
10000;0.005344;
10000;0.005007;
10000;0.005156;
10000;0.004990;
10000;0.005328;
10000;0.005004;
10000;0.004944;
10000;0.005111;
10000;0.005557;
10000;0.004941;
10000;0.006081;
10000;0.005056;
