dimGraph;timeInt;
10000;0.009900;
10000;0.006227;
10000;0.005415;
10000;0.006384;
10000;0.007772;
10000;0.006347;
10000;0.006939;
10000;0.005315;
10000;0.005379;
10000;0.005194;
10000;0.005115;
10000;0.005294;
10000;0.005301;
10000;0.004907;
10000;0.005533;
10000;0.005214;
10000;0.005004;
10000;0.005207;
10000;0.005243;
10000;0.010000;
10000;0.005912;
10000;0.005365;
10000;0.005100;
10000;0.005064;
10000;0.004608;
10000;0.006110;
10000;0.005555;
10000;0.005559;
10000;0.005499;
10000;0.006082;
10000;0.005570;
10000;0.005461;
10000;0.009668;
10000;0.004890;
10000;0.006254;
10000;0.005308;
10000;0.007566;
10000;0.009954;
10000;0.005787;
10000;0.006401;
10000;0.004891;
10000;0.005518;
10000;0.005675;
10000;0.005639;
10000;0.006049;
10000;0.008456;
10000;0.007118;
10000;0.008861;
10000;0.008657;
10000;0.006542;
