dimGraph;timeInt;
10000;0.016822;
10000;0.018135;
10000;0.017235;
10000;0.017030;
10000;0.016454;
10000;0.016889;
10000;0.016245;
10000;0.016257;
10000;0.016452;
10000;0.016453;
10000;0.016288;
10000;0.016328;
10000;0.016775;
10000;0.016165;
10000;0.016481;
10000;0.016677;
10000;0.017035;
10000;0.016260;
10000;0.016298;
10000;0.017045;
10000;0.016317;
10000;0.016256;
10000;0.016750;
10000;0.018151;
10000;0.016368;
10000;0.018139;
10000;0.016769;
10000;0.016875;
10000;0.016181;
10000;0.016333;
10000;0.017275;
10000;0.016050;
10000;0.016268;
10000;0.018111;
10000;0.017322;
10000;0.017255;
10000;0.017373;
10000;0.018009;
10000;0.018213;
10000;0.017778;
10000;0.016592;
10000;0.017201;
10000;0.017337;
10000;0.018348;
10000;0.017475;
10000;0.016786;
10000;0.017923;
10000;0.016386;
10000;0.016565;
10000;0.016887;
