dimGraph;timeInt;
10000;0.009982;
10000;0.008898;
10000;0.009147;
10000;0.009010;
10000;0.009152;
10000;0.009026;
10000;0.009862;
10000;0.009210;
10000;0.009246;
10000;0.009202;
10000;0.009141;
10000;0.009246;
10000;0.009147;
10000;0.009348;
10000;0.008935;
10000;0.009505;
10000;0.013518;
10000;0.009324;
10000;0.009846;
10000;0.009239;
10000;0.009349;
10000;0.009023;
10000;0.009164;
10000;0.009194;
10000;0.009068;
10000;0.009756;
10000;0.009423;
10000;0.010104;
10000;0.009395;
10000;0.009962;
10000;0.009388;
10000;0.010724;
10000;0.011410;
10000;0.009285;
10000;0.009762;
10000;0.009553;
10000;0.009231;
10000;0.009508;
10000;0.009187;
10000;0.009468;
10000;0.010338;
10000;0.009500;
10000;0.009264;
10000;0.023267;
10000;0.011060;
10000;0.009425;
10000;0.010501;
10000;0.010027;
10000;0.009183;
10000;0.009216;
