dimGraph;timeInt;
10000;0.008398;
10000;0.004411;
10000;0.005407;
10000;0.005239;
10000;0.004117;
10000;0.005205;
10000;0.007823;
10000;0.005084;
10000;0.007593;
10000;0.004889;
10000;0.004185;
10000;0.006864;
10000;0.006872;
10000;0.007579;
10000;0.005765;
10000;0.007743;
10000;0.005062;
10000;0.005193;
10000;0.007923;
10000;0.007681;
10000;0.006069;
10000;0.007403;
10000;0.005572;
10000;0.004329;
10000;0.007165;
10000;0.004059;
10000;0.003927;
10000;0.007468;
10000;0.007674;
10000;0.005234;
10000;0.006449;
10000;0.004457;
10000;0.007384;
10000;0.006402;
10000;0.006756;
10000;0.006730;
10000;0.004102;
10000;0.004015;
10000;0.005326;
10000;0.004818;
10000;0.007268;
10000;0.008219;
10000;0.004098;
10000;0.005677;
10000;0.004385;
10000;0.004275;
10000;0.007158;
10000;0.004928;
10000;0.007504;
10000;0.004035;
