dimGraph;timeInt;
10000;0.017287;
10000;0.016139;
10000;0.016275;
10000;0.017507;
10000;0.018299;
10000;0.016119;
10000;0.016491;
10000;0.017987;
10000;0.018937;
10000;0.017180;
10000;0.017872;
10000;0.017165;
10000;0.016517;
10000;0.016792;
10000;0.016961;
10000;0.017466;
10000;0.016614;
10000;0.016478;
10000;0.016734;
10000;0.016138;
10000;0.017248;
10000;0.017179;
10000;0.016816;
10000;0.016345;
10000;0.017065;
10000;0.016375;
10000;0.017108;
10000;0.016127;
10000;0.021305;
10000;0.016009;
10000;0.016583;
10000;0.016077;
10000;0.016836;
10000;0.015865;
10000;0.015419;
10000;0.016410;
10000;0.015580;
10000;0.016445;
10000;0.015624;
10000;0.015694;
10000;0.015737;
10000;0.017888;
10000;0.015850;
10000;0.015652;
10000;0.017119;
10000;0.015782;
10000;0.015914;
10000;0.015830;
10000;0.016197;
10000;0.016192;
