dimGraph;timeInt;
10000;0.016372;
10000;0.017462;
10000;0.016364;
10000;0.017534;
10000;0.016792;
10000;0.017074;
10000;0.017245;
10000;0.016959;
10000;0.016424;
10000;0.017131;
10000;0.017016;
10000;0.016226;
10000;0.017050;
10000;0.016556;
10000;0.016884;
10000;0.016346;
10000;0.016352;
10000;0.016150;
10000;0.016182;
10000;0.016122;
10000;0.016550;
10000;0.016511;
10000;0.016780;
10000;0.017175;
10000;0.017376;
10000;0.016254;
10000;0.016274;
10000;0.016246;
10000;0.016175;
10000;0.016169;
10000;0.016651;
10000;0.016338;
10000;0.016248;
10000;0.016328;
10000;0.016637;
10000;0.016223;
10000;0.016341;
10000;0.016121;
10000;0.016340;
10000;0.016064;
10000;0.016181;
10000;0.016480;
10000;0.016306;
10000;0.016351;
10000;0.017633;
10000;0.019130;
10000;0.017158;
10000;0.016300;
10000;0.016119;
10000;0.016424;
