dimGraph;timeInt;
10000;0.006164;
10000;0.004895;
10000;0.005238;
10000;0.008947;
10000;0.008769;
10000;0.005272;
10000;0.005183;
10000;0.005638;
10000;0.005342;
10000;0.005503;
10000;0.009477;
10000;0.010052;
10000;0.009729;
10000;0.005137;
10000;0.006301;
10000;0.005535;
10000;0.009482;
10000;0.005876;
10000;0.007031;
10000;0.005561;
10000;0.005861;
10000;0.005396;
10000;0.005083;
10000;0.005559;
10000;0.005853;
10000;0.004840;
10000;0.004822;
10000;0.005345;
10000;0.005220;
10000;0.005129;
10000;0.005215;
10000;0.005465;
10000;0.005000;
10000;0.005080;
10000;0.005369;
10000;0.010691;
10000;0.006849;
10000;0.005444;
10000;0.005236;
10000;0.005279;
10000;0.005644;
10000;0.005774;
10000;0.005151;
10000;0.005377;
10000;0.005809;
10000;0.005821;
10000;0.004977;
10000;0.005196;
10000;0.005379;
10000;0.004787;
