dimGraph;timeInt;
300000;1.813547;
300000;1.826838;
300000;1.853253;
300000;1.858968;
300000;1.856822;
300000;1.848985;
300000;1.829090;
300000;1.811001;
300000;1.852793;
300000;1.855521;
300000;1.846351;
300000;1.820527;
300000;1.841065;
300000;1.807633;
300000;1.827132;
300000;1.811287;
300000;1.830450;
300000;1.825173;
300000;1.831264;
300000;1.844573;
300000;1.846127;
300000;1.826888;
300000;1.817747;
300000;1.863696;
300000;1.841181;
300000;1.836122;
300000;1.836841;
300000;1.822757;
300000;1.809237;
300000;1.995775;
300000;1.886633;
300000;1.834735;
300000;1.828466;
300000;1.823165;
300000;1.808321;
300000;1.799970;
300000;1.803961;
300000;1.821466;
300000;1.817001;
300000;1.810242;
300000;1.813420;
300000;1.806556;
300000;1.834749;
300000;1.790462;
300000;1.794211;
300000;1.785619;
300000;1.804544;
300000;1.824428;
300000;1.803257;
300000;1.800970;
