dimGraph;timeInt;
300000;1.116289;
300000;1.088054;
300000;1.095918;
300000;1.103474;
300000;1.088578;
300000;1.090844;
300000;1.126245;
300000;1.093296;
300000;1.199741;
300000;1.613368;
300000;1.378914;
300000;1.566355;
300000;1.099846;
300000;1.143293;
300000;1.099097;
300000;1.079653;
300000;1.093676;
300000;1.087843;
300000;1.099926;
300000;1.664240;
300000;1.094169;
300000;1.133925;
300000;1.099319;
300000;1.434780;
300000;1.113359;
300000;1.126355;
300000;1.119925;
300000;1.773187;
300000;1.104822;
300000;1.092216;
300000;1.278220;
300000;1.285973;
300000;1.425154;
300000;1.092947;
300000;1.078684;
300000;1.083150;
300000;1.080181;
300000;1.070489;
300000;1.078710;
300000;1.495904;
300000;1.070761;
300000;1.088606;
300000;1.076530;
300000;1.408916;
300000;1.123169;
300000;1.068582;
300000;1.092481;
300000;1.168247;
300000;1.069283;
300000;1.071392;
