N_vertices; BlockSize; GridSize; time_sec
500000; 4; 6656; 0.009795
500000; 4; 6656; 0.010065
500000; 4; 6656; 0.009840
500000; 4; 6656; 0.010067
500000; 4; 6656; 0.010042
500000; 4; 6656; 0.009895
500000; 4; 6656; 0.009876
500000; 4; 6656; 0.010083
500000; 4; 6656; 0.010023
500000; 4; 6656; 0.009861
500000; 4; 6656; 0.009957
500000; 4; 6656; 0.009977
500000; 4; 6656; 0.009860
500000; 4; 6656; 0.009983
500000; 4; 6656; 0.009898
500000; 4; 6656; 0.009841
500000; 4; 6656; 0.009687
500000; 4; 6656; 0.009851
500000; 4; 6656; 0.009740
