N_vertices; BlockSize; GridSize; time_sec
500000; 2; 13312; 0.014958
500000; 2; 13312; 0.015055
500000; 2; 13312; 0.014814
500000; 2; 13312; 0.015018
500000; 2; 13312; 0.014957
500000; 2; 13312; 0.015099
500000; 2; 13312; 0.016026
500000; 2; 13312; 0.014975
500000; 2; 13312; 0.015149
500000; 2; 13312; 0.014934
500000; 2; 13312; 0.014996
500000; 2; 13312; 0.015091
500000; 2; 13312; 0.015095
500000; 2; 13312; 0.014939
500000; 2; 13312; 0.016298
500000; 2; 13312; 0.014958
500000; 2; 13312; 0.014909
500000; 2; 13312; 0.014827
500000; 2; 13312; 0.014929
