N_vertices; BlockSize; GridSize; time_sec
500000; 8; 3328; 0.007065
500000; 8; 3328; 0.007642
500000; 8; 3328; 0.007102
500000; 8; 3328; 0.007285
500000; 8; 3328; 0.007086
500000; 8; 3328; 0.007101
500000; 8; 3328; 0.007290
500000; 8; 3328; 0.007514
500000; 8; 3328; 0.007174
500000; 8; 3328; 0.007102
500000; 8; 3328; 0.007424
500000; 8; 3328; 0.006996
500000; 8; 3328; 0.007157
500000; 8; 3328; 0.007213
500000; 8; 3328; 0.007069
500000; 8; 3328; 0.007125
500000; 8; 3328; 0.007414
500000; 8; 3328; 0.007045
500000; 8; 3328; 0.007151
