N_vertices; BlockSize; GridSize; time_sec
500000; 256; 104; 0.006598
500000; 256; 104; 0.006409
500000; 256; 104; 0.006416
500000; 256; 104; 0.006887
500000; 256; 104; 0.006463
500000; 256; 104; 0.006379
500000; 256; 104; 0.006327
500000; 256; 104; 0.007286
500000; 256; 104; 0.006353
500000; 256; 104; 0.006683
500000; 256; 104; 0.006535
500000; 256; 104; 0.006722
500000; 256; 104; 0.006444
500000; 256; 104; 0.007486
500000; 256; 104; 0.007350
500000; 256; 104; 0.006503
500000; 256; 104; 0.007281
500000; 256; 104; 0.006531
500000; 256; 104; 0.006360
