N_vertices; BlockSize; GridSize; time_sec
500000; 16; 1664; 0.005773
500000; 16; 1664; 0.005698
500000; 16; 1664; 0.005755
500000; 16; 1664; 0.005914
500000; 16; 1664; 0.005862
500000; 16; 1664; 0.005516
500000; 16; 1664; 0.005770
500000; 16; 1664; 0.005754
500000; 16; 1664; 0.006837
500000; 16; 1664; 0.005697
500000; 16; 1664; 0.005789
500000; 16; 1664; 0.005862
500000; 16; 1664; 0.005714
500000; 16; 1664; 0.005632
500000; 16; 1664; 0.005928
500000; 16; 1664; 0.005726
500000; 16; 1664; 0.006020
500000; 16; 1664; 0.005808
500000; 16; 1664; 0.005687
