N_vertices; BlockSize; GridSize; time_sec
500000; 512; 52; 0.006787
500000; 512; 52; 0.006328
500000; 512; 52; 0.006952
500000; 512; 52; 0.006486
500000; 512; 52; 0.006390
500000; 512; 52; 0.006394
500000; 512; 52; 0.006649
500000; 512; 52; 0.006580
500000; 512; 52; 0.006475
500000; 512; 52; 0.006417
500000; 512; 52; 0.006404
500000; 512; 52; 0.007406
500000; 512; 52; 0.006438
500000; 512; 52; 0.006927
500000; 512; 52; 0.006484
500000; 512; 52; 0.006329
500000; 512; 52; 0.006464
500000; 512; 52; 0.006351
500000; 512; 52; 0.006360
