N_vertices; BlockSize; GridSize; time_sec
500000; 64; 416; 0.006352
500000; 64; 416; 0.006311
500000; 64; 416; 0.006121
500000; 64; 416; 0.006395
500000; 64; 416; 0.006402
500000; 64; 416; 0.006412
500000; 64; 416; 0.006440
500000; 64; 416; 0.006044
500000; 64; 416; 0.006209
500000; 64; 416; 0.006203
500000; 64; 416; 0.006307
500000; 64; 416; 0.006155
500000; 64; 416; 0.006343
500000; 64; 416; 0.006157
500000; 64; 416; 0.006044
500000; 64; 416; 0.006736
500000; 64; 416; 0.006110
500000; 64; 416; 0.006116
500000; 64; 416; 0.006044
