N_vertices; BlockSize; GridSize; time_sec
500000; 64; 416; 0.006105
500000; 64; 416; 0.006105
500000; 64; 416; 0.006162
500000; 64; 416; 0.006164
500000; 64; 416; 0.006168
500000; 64; 416; 0.006215
500000; 64; 416; 0.006110
500000; 64; 416; 0.006144
500000; 64; 416; 0.006281
500000; 64; 416; 0.006296
500000; 64; 416; 0.006404
500000; 64; 416; 0.006295
500000; 64; 416; 0.006345
500000; 64; 416; 0.006231
500000; 64; 416; 0.006514
500000; 64; 416; 0.006170
500000; 64; 416; 0.006236
500000; 64; 416; 0.006187
500000; 64; 416; 0.006221
