N_vertices; BlockSize; GridSize; time_sec
500000; 512; 52; 0.006714
500000; 512; 52; 0.006504
500000; 512; 52; 0.007111
500000; 512; 52; 0.006424
500000; 512; 52; 0.006351
500000; 512; 52; 0.006433
500000; 512; 52; 0.006415
500000; 512; 52; 0.006426
500000; 512; 52; 0.006605
500000; 512; 52; 0.006741
500000; 512; 52; 0.006494
500000; 512; 52; 0.006462
500000; 512; 52; 0.006652
500000; 512; 52; 0.006596
500000; 512; 52; 0.006553
500000; 512; 52; 0.006554
500000; 512; 52; 0.006441
500000; 512; 52; 0.006435
500000; 512; 52; 0.006430
