N_vertices; BlockSize; GridSize; time_sec
500000; 128; 208; 0.006443
500000; 128; 208; 0.006348
500000; 128; 208; 0.006530
500000; 128; 208; 0.006258
500000; 128; 208; 0.006173
500000; 128; 208; 0.006422
500000; 128; 208; 0.006321
500000; 128; 208; 0.006438
500000; 128; 208; 0.006364
500000; 128; 208; 0.006303
500000; 128; 208; 0.006417
500000; 128; 208; 0.006477
500000; 128; 208; 0.006505
500000; 128; 208; 0.006657
500000; 128; 208; 0.006309
500000; 128; 208; 0.006485
500000; 128; 208; 0.006393
500000; 128; 208; 0.007188
500000; 128; 208; 0.006568
