N_vertices; BlockSize; GridSize; time_sec
500000; 2; 13312; 0.015306
500000; 2; 13312; 0.015260
500000; 2; 13312; 0.015111
500000; 2; 13312; 0.015290
500000; 2; 13312; 0.015215
500000; 2; 13312; 0.015691
500000; 2; 13312; 0.015298
500000; 2; 13312; 0.015377
500000; 2; 13312; 0.015301
500000; 2; 13312; 0.015326
500000; 2; 13312; 0.015184
500000; 2; 13312; 0.015320
500000; 2; 13312; 0.015457
500000; 2; 13312; 0.015182
500000; 2; 13312; 0.015246
500000; 2; 13312; 0.015237
500000; 2; 13312; 0.015224
500000; 2; 13312; 0.015311
500000; 2; 13312; 0.015213
