N_vertices; BlockSize; GridSize; time_sec
500000; 8; 3328; 0.007360
500000; 8; 3328; 0.007260
500000; 8; 3328; 0.009221
500000; 8; 3328; 0.007300
500000; 8; 3328; 0.007267
500000; 8; 3328; 0.007174
500000; 8; 3328; 0.007129
500000; 8; 3328; 0.007086
500000; 8; 3328; 0.007269
500000; 8; 3328; 0.008375
500000; 8; 3328; 0.007148
500000; 8; 3328; 0.007190
500000; 8; 3328; 0.007306
500000; 8; 3328; 0.007147
500000; 8; 3328; 0.007304
500000; 8; 3328; 0.007184
500000; 8; 3328; 0.007167
500000; 8; 3328; 0.007451
500000; 8; 3328; 0.008173
