N_vertices; BlockSize; GridSize; time_sec
500000; 4; 6656; 0.009988
500000; 4; 6656; 0.010075
500000; 4; 6656; 0.011737
500000; 4; 6656; 0.010109
500000; 4; 6656; 0.009914
500000; 4; 6656; 0.010322
500000; 4; 6656; 0.010001
500000; 4; 6656; 0.010313
500000; 4; 6656; 0.010494
500000; 4; 6656; 0.010103
500000; 4; 6656; 0.009933
500000; 4; 6656; 0.010025
500000; 4; 6656; 0.010042
500000; 4; 6656; 0.010150
500000; 4; 6656; 0.009956
500000; 4; 6656; 0.010051
500000; 4; 6656; 0.010005
500000; 4; 6656; 0.010090
500000; 4; 6656; 0.011267
