N_vertices; BlockSize; GridSize; time_sec
500000; 16; 1664; 0.005937
500000; 16; 1664; 0.005939
500000; 16; 1664; 0.005780
500000; 16; 1664; 0.005948
500000; 16; 1664; 0.005925
500000; 16; 1664; 0.005852
500000; 16; 1664; 0.005886
500000; 16; 1664; 0.006006
500000; 16; 1664; 0.006252
500000; 16; 1664; 0.005929
500000; 16; 1664; 0.005911
500000; 16; 1664; 0.005782
500000; 16; 1664; 0.005972
500000; 16; 1664; 0.005841
500000; 16; 1664; 0.005857
500000; 16; 1664; 0.006080
500000; 16; 1664; 0.006118
500000; 16; 1664; 0.005958
500000; 16; 1664; 0.006030
