dimGraph;timeInt;
20000;0.177839;
20000;0.178298;
20000;0.177178;
20000;0.193476;
20000;0.177394;
20000;0.194340;
20000;0.204435;
20000;0.177441;
20000;0.207856;
20000;0.176729;
20000;0.177386;
20000;0.178867;
20000;0.178326;
20000;0.176569;
20000;0.204376;
20000;0.177076;
20000;0.201289;
20000;0.199206;
20000;0.198276;
20000;0.202135;
20000;0.259894;
20000;0.189224;
20000;0.174076;
20000;0.209107;
20000;0.203463;
20000;0.179854;
20000;0.182494;
20000;0.181713;
20000;0.195974;
20000;0.199262;
20000;0.204694;
20000;0.177460;
20000;0.177815;
20000;0.201971;
20000;0.182648;
20000;0.188644;
20000;0.210492;
20000;0.192035;
20000;0.205651;
20000;0.200858;
20000;0.188960;
20000;0.181964;
20000;0.178545;
20000;0.177995;
20000;0.220545;
20000;0.209029;
20000;0.173222;
20000;0.172308;
20000;0.174187;
20000;0.177623;
