dimGraph;timeInt;
20000;0.081233;
20000;0.083064;
20000;0.081988;
20000;0.080930;
20000;0.081792;
20000;0.076209;
20000;0.083758;
20000;0.080265;
20000;0.074142;
20000;0.082479;
20000;0.081250;
20000;0.082349;
20000;0.081582;
20000;0.082089;
20000;0.081531;
20000;0.080791;
20000;0.079945;
20000;0.079663;
20000;0.079426;
20000;0.083757;
20000;0.083378;
20000;0.074681;
20000;0.082570;
20000;0.081191;
20000;0.081414;
20000;0.078030;
20000;0.079960;
20000;0.081980;
20000;0.081979;
20000;0.079269;
20000;0.081368;
20000;0.081372;
20000;0.081824;
20000;0.081782;
20000;0.082320;
20000;0.078600;
20000;0.081356;
20000;0.077560;
20000;0.078171;
20000;0.081446;
20000;0.081097;
20000;0.082413;
20000;0.080390;
20000;0.083115;
20000;0.084375;
20000;0.084392;
20000;0.081694;
20000;0.080594;
20000;0.081742;
20000;0.081146;
