dimGraph;timeInt;
20000;0.175315;
20000;0.762315;
20000;0.141789;
20000;0.244910;
20000;0.280962;
20000;0.214540;
20000;0.314054;
20000;0.206941;
20000;0.134640;
20000;0.137372;
20000;0.091575;
20000;0.126301;
20000;0.490749;
20000;0.249309;
20000;0.320131;
20000;0.194616;
20000;0.134631;
20000;0.126071;
20000;0.175672;
20000;0.155920;
20000;0.250603;
20000;0.255365;
20000;0.251127;
20000;0.142651;
20000;0.193107;
20000;0.150401;
20000;0.127612;
20000;0.133131;
20000;0.220624;
20000;0.193980;
20000;0.246440;
20000;0.218243;
20000;0.159576;
20000;0.176253;
20000;0.837318;
20000;0.198526;
20000;0.296089;
20000;0.659275;
20000;0.553771;
20000;0.132013;
20000;0.258897;
20000;0.228124;
20000;0.276350;
20000;0.146905;
20000;0.125621;
20000;0.146140;
20000;0.139219;
20000;0.533492;
20000;0.131965;
20000;0.127409;
