dimGraph;timeInt;
20000;0.251861;
20000;0.250075;
20000;0.247901;
20000;0.250932;
20000;0.249444;
20000;0.248342;
20000;0.254409;
20000;0.247803;
20000;0.249169;
20000;0.252696;
20000;0.248378;
20000;0.258862;
20000;0.259456;
20000;0.258745;
20000;0.248412;
20000;0.248784;
20000;0.248279;
20000;0.248970;
20000;0.249096;
20000;0.257676;
20000;0.247560;
20000;0.248061;
20000;0.260024;
20000;0.248136;
20000;0.248375;
20000;0.248472;
20000;0.248134;
20000;0.259380;
20000;0.253306;
20000;0.250623;
20000;0.256034;
20000;0.247737;
20000;0.262314;
20000;0.248252;
20000;0.252340;
20000;0.250324;
20000;0.248563;
20000;0.248032;
20000;0.250906;
20000;0.248387;
20000;0.251749;
20000;0.252566;
20000;0.250040;
20000;0.250804;
20000;0.250407;
20000;0.249110;
20000;0.248510;
20000;0.249455;
20000;0.249251;
20000;0.251038;
