dimGraph;timeInt;
10000;0.024744;
10000;0.022524;
10000;0.024419;
10000;0.024626;
10000;0.023624;
10000;0.023863;
10000;0.024858;
10000;0.024967;
10000;0.023968;
10000;0.023033;
10000;0.021619;
10000;0.023998;
10000;0.024516;
10000;0.025459;
10000;0.022834;
10000;0.026123;
10000;0.023188;
10000;0.023329;
10000;0.022625;
10000;0.024718;
10000;0.022994;
10000;0.024554;
10000;0.023511;
10000;0.024604;
10000;0.023021;
10000;0.023097;
10000;0.024283;
10000;0.023023;
10000;0.024581;
10000;0.023080;
10000;0.023836;
10000;0.024281;
10000;0.023438;
10000;0.025410;
10000;0.025209;
10000;0.024105;
10000;0.023293;
10000;0.024539;
10000;0.024877;
10000;0.024349;
10000;0.024714;
10000;0.022622;
10000;0.025530;
10000;0.024210;
10000;0.026699;
10000;0.021843;
10000;0.026016;
10000;0.023733;
10000;0.022286;
10000;0.024974;
