dimGraph;timeInt;
10000;0.150519;
10000;0.162364;
10000;0.156931;
10000;0.152810;
10000;0.156364;
10000;0.157831;
10000;0.152922;
10000;0.149951;
10000;0.157952;
10000;0.152425;
10000;0.150575;
10000;0.152698;
10000;0.151502;
10000;0.156366;
10000;0.158601;
10000;0.150203;
10000;0.156314;
10000;0.161405;
10000;0.153072;
10000;0.153271;
10000;0.161445;
10000;0.155897;
10000;0.158423;
10000;0.155985;
10000;0.151660;
10000;0.155250;
10000;0.153367;
10000;0.150416;
10000;0.154599;
10000;0.150260;
10000;0.158511;
10000;0.161682;
10000;0.153717;
10000;0.155251;
10000;0.152854;
10000;0.147907;
10000;0.153787;
10000;0.153855;
10000;0.155087;
10000;0.149317;
10000;0.150331;
10000;0.150376;
10000;0.154369;
10000;0.153405;
10000;0.155776;
10000;0.156059;
10000;0.153878;
10000;0.157461;
10000;0.151794;
10000;0.156008;
