dimGraph;timeInt;
10000;0.028205;
10000;0.035543;
10000;0.034799;
10000;0.027623;
10000;0.028416;
10000;0.028298;
10000;0.028257;
10000;0.036365;
10000;0.034181;
10000;0.031388;
10000;0.039494;
10000;0.034216;
10000;0.035883;
10000;0.031869;
10000;0.029703;
10000;0.036156;
10000;0.033413;
10000;0.028046;
10000;0.027558;
10000;0.033386;
10000;0.027989;
10000;0.031754;
10000;0.027535;
10000;0.032102;
10000;0.034648;
10000;0.031872;
10000;0.028341;
10000;0.036248;
10000;0.032098;
10000;0.033119;
10000;0.035751;
10000;0.027603;
10000;0.027256;
10000;0.029121;
10000;0.038573;
10000;0.032186;
10000;0.040950;
10000;0.027820;
10000;0.027246;
10000;0.034291;
10000;0.035946;
10000;0.028114;
10000;0.033844;
10000;0.027704;
10000;0.036147;
10000;0.027266;
10000;0.032531;
10000;0.032542;
10000;0.038449;
10000;0.034745;
