dimGraph;timeInt;
1000;0.001048;
1000;0.000224;
1000;0.000227;
1000;0.000252;
1000;0.000225;
1000;0.000206;
1000;0.000317;
1000;0.000219;
1000;0.000235;
1000;0.000214;
1000;0.000241;
1000;0.000270;
1000;0.000215;
1000;0.000228;
1000;0.000211;
1000;0.000218;
1000;0.000214;
1000;0.000229;
1000;0.001028;
1000;0.000218;
1000;0.000225;
1000;0.000216;
1000;0.000383;
1000;0.000217;
1000;0.000214;
1000;0.000226;
1000;0.000207;
1000;0.000237;
1000;0.000196;
1000;0.000252;
1000;0.000254;
1000;0.000214;
1000;0.000352;
1000;0.000211;
1000;0.000302;
1000;0.000205;
1000;0.000199;
1000;0.000235;
1000;0.000198;
1000;0.000215;
1000;0.000199;
1000;0.000223;
1000;0.000214;
1000;0.000197;
1000;0.000221;
1000;0.000207;
1000;0.000229;
1000;0.000199;
1000;0.000216;
1000;0.000197;
