dimGraph;timeInt;
1000;0.006410;
1000;0.005524;
1000;0.005346;
1000;0.005258;
1000;0.005187;
1000;0.005234;
1000;0.005422;
1000;0.005200;
1000;0.005111;
1000;0.005722;
1000;0.005541;
1000;0.005731;
1000;0.005594;
1000;0.005647;
1000;0.005392;
1000;0.005658;
1000;0.005865;
1000;0.006105;
1000;0.005695;
1000;0.005257;
1000;0.006159;
1000;0.006596;
1000;0.005975;
1000;0.006079;
1000;0.006208;
1000;0.005921;
1000;0.006734;
1000;0.006387;
1000;0.006488;
1000;0.006560;
1000;0.006152;
1000;0.006230;
1000;0.005694;
1000;0.006107;
1000;0.005778;
1000;0.006065;
1000;0.006128;
1000;0.005867;
1000;0.005868;
1000;0.005585;
1000;0.005670;
1000;0.006275;
1000;0.006013;
1000;0.005797;
1000;0.006232;
1000;0.005627;
1000;0.006339;
1000;0.005757;
1000;0.006040;
1000;0.005958;
