dimGraph;timeInt;
1000;0.005173;
1000;0.003854;
1000;0.003937;
1000;0.004002;
1000;0.004146;
1000;0.004229;
1000;0.004207;
1000;0.004114;
1000;0.004188;
1000;0.003779;
1000;0.004444;
1000;0.003878;
1000;0.004026;
1000;0.003971;
1000;0.003999;
1000;0.003932;
1000;0.004202;
1000;0.004360;
1000;0.003942;
1000;0.004459;
1000;0.004352;
1000;0.004312;
1000;0.004317;
1000;0.003946;
1000;0.004253;
1000;0.004327;
1000;0.004607;
1000;0.004060;
1000;0.004264;
1000;0.004025;
1000;0.004040;
1000;0.004065;
1000;0.003942;
1000;0.004374;
1000;0.004054;
1000;0.004481;
1000;0.004218;
1000;0.004408;
1000;0.004441;
1000;0.004310;
1000;0.004211;
1000;0.003828;
1000;0.004095;
1000;0.004038;
1000;0.004053;
1000;0.004205;
1000;0.004524;
1000;0.004328;
1000;0.004303;
1000;0.004257;
