dimGraph;timeInt;
1000;0.007082;
1000;0.005242;
1000;0.005161;
1000;0.005560;
1000;0.005452;
1000;0.005806;
1000;0.005543;
1000;0.005859;
1000;0.005765;
1000;0.005500;
1000;0.005730;
1000;0.005698;
1000;0.005957;
1000;0.005541;
1000;0.005814;
1000;0.005444;
1000;0.006383;
1000;0.005833;
1000;0.005745;
1000;0.005742;
1000;0.006084;
1000;0.005449;
1000;0.005542;
1000;0.006095;
1000;0.005859;
1000;0.005622;
1000;0.005594;
1000;0.005667;
1000;0.005246;
1000;0.005665;
1000;0.005379;
1000;0.006173;
1000;0.005417;
1000;0.005642;
1000;0.005062;
1000;0.005631;
1000;0.005858;
1000;0.005508;
1000;0.005623;
1000;0.005712;
1000;0.005623;
1000;0.005794;
1000;0.005479;
1000;0.005531;
1000;0.005411;
1000;0.005433;
1000;0.005162;
1000;0.006057;
1000;0.005698;
1000;0.005763;
